name,year,genres,rating
Final Fantasy XVI,(2023 Video Game),"Action, Adventure, Drama",9.3
Diablo IV,(2023 Video Game),"Action, Adventure, Fantasy",8.7
The Quarry,(2022 Video Game),"Action, Adventure, Drama",8.0
Red Dead Redemption II,(2018 Video Game),"Action, Adventure, Crime",9.7
God of War: Ragnarök,(2022 Video Game),"Action, Adventure, Drama",9.7
Grand Theft Auto V,(2013 Video Game),"Action, Comedy, Crime",9.5
Star Wars Jedi: Survivor,(2023 Video Game),"Action, Adventure, Drama",9.2
Spider-Man,(2018 Video Game),"Action, Adventure, Fantasy",9.2
Wiedzmin 3: Dziki Gon,(2015 Video Game),"Action, Adventure, Drama",9.7
Spider-Man: Miles Morales,(2020 Video Game),"Action, Adventure, Fantasy",8.4
Cyberpunk 2077,(2020 Video Game),"Action, Crime, Drama",8.2
The Last of Us,(2013 Video Game),"Action, Adventure, Drama",9.7
Zeruda no densetsu: Tiâzu obu za kingudamu,(2023 Video Game),"Action, Adventure, Fantasy",9.6
The Last of Us: Part II,(2020 Video Game),"Action, Adventure, Drama",8.7
Death Stranding,(2019 Video Game),"Action, Adventure, Drama",8.8
Hogwarts Legacy,(2023 Video Game),"Action, Adventure, Fantasy",8.8
Detroit: Become Human,(2018 Video Game),"Action, Adventure, Drama",9.2
Squadron 42,(Video Game),"Action, Sci-Fi",
Grand Theft Auto: San Andreas,(2004 Video Game),"Action, Crime",9.4
Batman: Arkham Knight,(2015 Video Game),"Action, Adventure, Crime",9.0
Far Cry 6,(2021 Video Game),"Action, Adventure, Crime",7.5
Call of Duty: Modern Warfare II,(2022 Video Game),"Action, Adventure, Crime",7.8
Grand Theft Auto: Vice City,(2002 Video Game),"Action, Crime, Drama",9.2
God of War,(2018 Video Game),"Action, Adventure, Drama",9.5
Final Fantasy VII Remake,(2020 Video Game),"Action, Adventure, Drama",9.0
Uncharted 4: A Thief's End,(2016 Video Game),"Action, Adventure, Drama",9.5
Ghost of Tsushima,(2020 Video Game),"Action, Adventure, Drama",9.2
Resident Evil 4,(2023 Video Game),"Action, Adventure, Fantasy",9.4
Spider-Man 2,(2023 Video Game),"Action, Adventure, Crime",
Horizon: Forbidden West,(2022 Video Game),"Action, Adventure, Sci-Fi",9.0
Star Wars Jedi: Fallen Order,(2019 Video Game),"Action, Adventure, Drama",8.5
Grand Theft Auto VI,(2024 Video Game),"Action, Crime, Drama",
Elden Ring,(2022 Video Game),"Action, Adventure, Fantasy",9.4
Command & Conquer: Red Alert 3,(2008 Video Game),"Action, Sci-Fi, War",7.5
Mortal Kombat 1,(2023 Video Game),"Action, Adventure, Fantasy",
The Elder Scrolls V: Skyrim,(2011 Video Game),"Action, Adventure, Fantasy",9.3
Mortal Kombat 11,(2019 Video Game),"Action, Adventure, Fantasy",7.9
Peaky Blinders: The King's Ransom,(2022 Video Game),"Action, Adventure, Crime",8.8
Red Dead Redemption,(2010 Video Game),"Action, Adventure, Crime",9.4
Fallout 4,(2015 Video Game),"Action, Adventure, Drama",8.6
Grand Theft Auto IV,(2008 Video Game),"Action, Crime, Drama",8.9
Horizon Zero Dawn,(2017 Video Game),"Action, Adventure, Sci-Fi",9.0
Assassin's Creed: Valhalla,(2020 Video Game),"Action, Adventure, Fantasy",8.0
Far Cry 3,(2012 Video Game),"Action, Adventure, Crime",8.8
The Callisto Protocol,(2022 Video Game),"Action, Horror, Sci-Fi",7.2
Batman: Arkham City,(2011 Video Game),"Action, Adventure, Crime",9.4
L.A. Noire,(2011 Video Game),"Action, Crime, Drama",8.7
Final Fantasy XV,(2016 Video Game),"Action, Adventure, Drama",8.0
Fallout: New Vegas,(2010 Video Game),"Action, Adventure, Sci-Fi",8.9
Fortnite,(2017 Video Game),"Action, Adventure, Comedy",5.2
Metal Gear Solid V: The Phantom Pain,(2015 Video Game),"Action, Adventure, Drama",8.8
Cyberpunk 2077: Phantom Liberty,(2023 Video Game),"Action, Adventure, Crime",
Batman: Arkham Asylum,(2009 Video Game),"Action, Adventure, Crime",9.2
Far Cry 5,(2018 Video Game),"Action, Adventure, Crime",7.9
Crime Boss: Rockay City,(2023 Video Game),"Action, Comedy, Crime",5.6
Marvel's Guardians of the Galaxy,(2021 Video Game),"Action, Adventure, Comedy",8.6
Zeruda no densetsu: Buresu obu za wairudo,(2017 Video Game),"Action, Adventure, Fantasy",9.4
Mass Effect,(2007 Video Game),"Action, Adventure, Drama",9.1
Mass Effect 2,(2010 Video Game),"Action, Adventure, Drama",9.5
Resident Evil Village,(2021 Video Game),"Action, Adventure, Drama",8.7
Star Wars: The Old Republic,(2011 Video Game),"Action, Adventure, Fantasy",8.5
God of War,(2005 Video Game),"Action, Adventure, Fantasy",9.1
Days Gone,(2019 Video Game),"Action, Adventure, Drama",8.3
Assassin's Creed: Odyssey,(2018 Video Game),"Action, Adventure, Fantasy",8.5
Injustice 2,(2017 Video Game),"Action, Adventure, Fantasy",8.5
Call of Duty: Modern Warfare,(2019 Video Game),"Action, Drama, Thriller",8.4
Midnight Suns,(2022 Video Game),"Action, Adventure, Fantasy",8.4
Assassin's Creed IV: Black Flag,(2013 Video Game),"Action, Adventure, History",8.7
Street Fighter 6,(2023 Video Game),"Action, Crime, Fantasy",8.8
Minecraft,(2009 Video Game),"Action, Adventure, Family",8.6
A Plague Tale: Requiem,(2022 Video Game),"Action, Adventure, Drama",8.6
Assassin's Creed: Origins,(2017 Video Game),"Action, Adventure, Fantasy",8.5
Starfield,(2023 Video Game),"Action, Adventure, Drama",
Alan Wake,(2010 Video Game),"Action, Adventure, Horror",8.5
Batman: Arkham Origins,(2013 Video Game),"Action, Adventure, Crime",8.2
Spider-Man: Shattered Dimensions,(2010 Video Game),"Action, Adventure, Fantasy",7.7
Biohazard 4,(2005 Video Game),"Action, Adventure, Horror",9.2
Assassin's Creed II,(2009 Video Game),"Action, Adventure, History",9.0
Call of Duty: Black Ops,(2010 Video Game),"Action, Horror, Thriller",8.3
Resident Evil 2,(2019 Video Game),"Action, Crime, Horror",9.0
God of War III,(2010 Video Game),"Action, Adventure, Fantasy",9.1
Metal Gear Solid,(1998 Video Game),"Action, Adventure, Drama",9.6
The Last of Us: Part I,(2022 Video Game),"Action, Adventure, Drama",9.7
Dead Island 2,(2023 Video Game),"Action, Adventure, Comedy",7.8
Tomb Raider,(2013 Video Game),"Action, Adventure, Fantasy",8.7
Lollipop Chainsaw,(2012 Video Game),"Action, Adventure, Comedy",7.5
High on Life,(2022 Video Game),"Action, Adventure, Comedy",7.8
Uncharted 2: Among Thieves,(2009 Video Game),"Action, Adventure, Fantasy",9.3
Call of Duty: Black Ops II,(2012 Video Game),"Action, Adventure, Horror",8.0
Atomic Heart,(2023 Video Game),"Action, Adventure, Crime",6.5
Mass Effect 3,(2012 Video Game),"Action, Adventure, Drama",9.1
Spider-Man: Edge of Time,(2011 Video Game),"Action, Adventure, Drama",6.7
Kingdom Hearts III,(2019 Video Game),"Action, Adventure, Family",8.3
Forspoken,(2023 Video Game),"Action, Adventure, Drama",4.8
Beyond: Two Souls,(2013 Video Game),"Action, Adventure, Drama",8.4
Call of Duty: WWII,(2017 Video Game),"Action, Drama, Horror",7.7
Gotham Knights,(2022 Video Game),"Action, Adventure, Crime",6.5
Destiny 2,(2017 Video Game),"Action, Adventure, Fantasy",7.6
Call of Duty: Modern Warfare 2,(2009 Video Game),"Action, Thriller",8.8
Sleeping Dogs,(2012 Video Game),"Action, Crime, Drama",8.3
Aliens: Dark Descent,(2023 Video Game),"Action, Horror, Sci-Fi",8.4
Grand Theft Auto III,(2001 Video Game),"Action, Crime, Drama",8.7
BioShock,(2007 Video Game),"Action, Adventure, Horror",9.1
Control,(2019 Video Game),"Action, Adventure, Horror",8.1
Diablo III,(2012 Video Game),"Action, Adventure, Fantasy",7.9
Poppy Playtime,(2021 Video Game),"Action, Adventure, Horror",6.7
Baldur's Gate III,(2023 Video Game),"Action, Adventure, Fantasy",
Street Fighter: The Movie,(1995 Video Game),Action,4.4
Uncharted: Drake's Fortune,(2007 Video Game),"Action, Adventure, Fantasy",8.4
Far Cry 4,(2014 Video Game),"Action, Adventure, Crime",8.1
God of War II,(2007 Video Game),"Action, Adventure, Fantasy",9.2
ARK II,(2024 Video Game),"Action, Adventure, Fantasy",
Metal Gear Solid 3: Snake Eater,(2004 Video Game),"Action, Adventure, Drama",9.5
Dragon Age: Inquisition,(2014 Video Game),"Action, Adventure, Fantasy",8.6
BioShock Infinite,(2013 Video Game),"Action, Adventure, Drama",9.1
Marvel's Avengers,(2020 Video Game),"Action, Adventure, Fantasy",6.3
Watch Dogs 2,(2016 Video Game),"Action, Adventure, Comedy",7.5
Dead Space,(2023 Video Game),"Action, Horror, Mystery",9.0
The Dark Pictures: House of Ashes,(2021 Video Game),"Action, Adventure, Horror",7.7
Evil Dead: The Game,(2022 Video Game),"Action, Fantasy, Horror",7.9
Mafia III,(2016 Video Game),"Action, Crime, Drama",7.0
Watch Dogs,(2014 Video Game),"Action, Crime, Drama",7.4
Mass Effect: Legendary Edition,(2021 Video Game),"Action, Adventure, Drama",9.6
Ratchet & Clank: Rift Apart,(2021 Video Game),"Animation, Action, Adventure",8.8
Call of Duty: Black Ops Cold War,(2020 Video Game),"Action, Drama, Horror",7.1
Assassin's Creed III,(2012 Video Game),"Action, Adventure, History",7.9
Devil May Cry 5,(2019 Video Game),"Action, Adventure, Fantasy",8.5
A Way Out,(2018 Video Game),"Action, Adventure, Crime",8.0
Honkai: Star Rail,(2023 Video Game),"Action, Adventure, Fantasy",7.8
The Lord of the Rings: Gollum,(2023 Video Game),"Action, Adventure, Drama",1.8
Resident Evil 7: Biohazard,(2017 Video Game),"Action, Crime, Drama",8.6
